title,lines
The S-PLUS 12-band photometry as a powerful tool for discovery and classification: ten cataclysmic variables in a proof-of-concept study,"[""\\affiliation{Departamento de F\\'isica, Universidade Federal de Sergipe, Av. Marechal Rondon, S/N, 49100-000, S\\~ao Crist\\'ov\\~ao, SE, Brazil}"", ""\\affiliation{Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil}"", ""\\affiliation{Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil}"", ""\\affiliation{Departamento de F\\'isica, Universidade Federal de Sergipe, Av. Marechal Rondon, S/N, 49100-000, S\\~ao Crist\\'ov\\~ao, SE, Brazil}"", ""\\affiliation{Departamento de Astronomia, Instituto de Astronomia, Geof\\'isica e Ci\\^encias Atmosf\\'ericas, Universidade de S\\~ao Paulo, R. do Mat\\~ao 1226, Cidade Universit\\'aria, 05508-090, S\\~ao Paulo, SP, Brazil}"", ""\\affiliation{Departamento de Astronomia, Instituto de Astronomia, Geof\\'isica e Ci\\^encias Atmosf\\'ericas, Universidade de S\\~ao Paulo, R. do Mat\\~ao 1226, Cidade Universit\\'aria, 05508-090, S\\~ao Paulo, SP, Brazil}"", '\\affiliation{CRESST II and X-ray Astrophysics Laboratory, NASA/GSFC, Greenbelt, MD 20771, USA}', '\\affiliation{Department of Physics, University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250, USA}', ""\\affiliation{Instituto de Astrof\\'{i}sica de La Plata (CCT La Plata - CONICET - UNLP), B1900FWA, La Plata, Argentina}"", '\\affiliation{Departamento de Física, Universidade Federal de Santa Catarina, Florianópolis, SC 88040-900, Brazil}', ""\\affiliation{Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil}"", ""\\affiliation{Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil}"", ""\\affiliation{Observat\\'orio Nacional, Rua Gal. Jos\\'e Cristino 77, 20921-400, Rio~de~Janeiro, RJ, Brazil}"", '\\affiliation{The Observatories of the Carnegie Institution for Science, 813 Santa Barbara St, Pasadena, CA 91101, USA}', '\\affiliation{Rubin Observatory Project Office, 950 N. Cherry Ave., Tucson, AZ 85719, USA}']"
NIRPS and TESS reveal a peculiar system around the M dwarf TOI-756: A transiting sub-Neptune and a cold eccentric giant,[]
Simulated Real-Time Testing of the Prototype Implementation of the SOFIE Model: The 2025 Space Weather Prediction Testbed Exercise,[]
Tails of Gravity: Persistence of Star Formation in the CMZ Environment,[]
All-sky search for short gravitational-wave bursts in the first part of the fourth LIGO-Virgo-KAGRA observing run,"['\\affiliation{Max Planck Institute for Gravitational Physics (Albert Einstein Institute), D-14476 Potsdam, Germany}', '\\affiliation{LIGO Hanford Observatory, Richland, WA 99352, USA}', '\\affiliation{Dipartimento di Farmacia, Universit\\`a di Salerno, I-84084 Fisciano, Salerno, Italy}', '\\affiliation{INFN, Sezione di Napoli, I-80126 Napoli, Italy}', '\\affiliation{University of Warwick, Coventry CV4 7AL, United Kingdom}', '\\affiliation{OzGrav, School of Physics \\& Astronomy, Monash University, Clayton 3800, Victoria, Australia}', '\\affiliation{The Pennsylvania State University, University Park, PA 16802, USA}', '\\affiliation{Max Planck Institute for Gravitational Physics (Albert Einstein Institute), D-30167 Hannover, Germany}', '\\affiliation{Leibniz Universit\\""{a}t Hannover, D-30167 Hannover, Germany}', '\\affiliation{University of Wisconsin-Milwaukee, Milwaukee, WI 53201, USA}', '\\affiliation{LIGO Laboratory, California Institute of Technology, Pasadena, CA 91125, USA}', '\\affiliation{Louisiana State University, Baton Rouge, LA 70803, USA}', '\\affiliation{Tata Institute of Fundamental Research, Mumbai 400005, India}', ""\\affiliation{Centre de Physique Th\\'eorique, Aix-Marseille Universit\\'e, Campus de Luminy, 163 Av. de Luminy, 13009 Marseille, France}"", ""\\affiliation{Universit\\'e catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium}"", '\\affiliation{Queen Mary University of London, London E1 4NS, United Kingdom}', '\\affiliation{University of California, Davis, Davis, CA 95616, USA}', '\\affiliation{University of Minnesota, Minneapolis, MN 55455, USA}', ""\\affiliation{Instituto Nacional de Pesquisas Espaciais, 12227-010 S\\~{a}o Jos\\'{e} dos Campos, S\\~{a}o Paulo, Brazil}"", ""\\affiliation{Universit\\'e Paris Cit\\'e, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France}"", '\\affiliation{Universit\\`a di Roma Tor Vergata, I-00133 Roma, Italy}', '\\affiliation{INFN, Sezione di Roma Tor Vergata, I-00133 Roma, Italy}', '\\affiliation{Universiteit Antwerpen, 2000 Antwerpen, Belgium}', '\\affiliation{International Centre for Theoretical Sciences, Tata Institute of Fundamental Research, Bengaluru 560089, India}', '\\affiliation{Gravitational Wave Science Project, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka City, Tokyo 181-8588, Japan  }', '\\affiliation{Advanced Technology Center, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka City, Tokyo 181-8588, Japan  }', '\\affiliation{Theoretisch-Physikalisches Institut, Friedrich-Schiller-Universit\\""at Jena, D-07743 Jena, Germany}', '\\affiliation{INFN Sezione di Torino, I-10125 Torino, Italy}']"
Multiphase Astrophysics to Unveil the Virgo Environment (MAUVE),[]
Halo Lightcones with Optimised Orientation and Interpolation in Cosmological Simulations -- an application to mock H$α$ selected galaxies,[]
Numerical analysis of quasiperiodic oscillations in the Hartle-Thorne spacetime,"['\\def\\pasj{Publ. Astr. Soc. Japan }', '$^1$National Nanotechnology Laboratory of Open Type,  Almaty 050040, Kazakhstan.\\\\', '$^2$Al-Farabi Kazakh National University, Al-Farabi ave. 71, 050040 Almaty , Kazakhstan.\\\\', '$^3$Institute of Nuclear Physics, Ibragimova, 1, 050032 Almaty, Kazakhstan.\\\\', '$^4$Universit\\`a di Camerino, Via Madonna delle Carceri 9, 62032 Camerino, Italy\\\\', '$^5$Instituto de Ciencias Nucleares, Universidad Nacional Aut\\`onoma de M\\`exico, Mexico.\\\\', '$^6$Dipartimento di Fisica and Icra, Universit\\`a di Roma “La Sapienza”, Roma, Italy.}']"
Synthesizer: a Software Package for Synthetic Astronomical Observables,[]
XRISM/Resolve observations of Hercules X-1: vertical structure and kinematics of the disk wind,[]
A unified model for long-period radio transients and white dwarf binary pulsars,"['\\item International Centre for Radio Astronomy Research, Curtin University, Kent St, Bentley WA 6102, Australia', '\\item Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans s/n, 08193, Barcelona, Spain', '\\item Institut d’Estudis Espacials de Catalunya (IEEC), Esteve Terradas 1, RDIT Building, 08860, Castelldefels, Spain', '\\item National Radio Astronomy Observatory, Socorro, NM 87801, USA', '\\item Australia Telescope National Facility, CSIRO, Space \\& Astronomy, Epping, New South Wales, Australia']"
Concurrent Accretion and Migration of Giant Planets in their Natal Disks with Consistent Accretion Torque (II): Parameter Survey and Condition for Outward Migration,[]
Characterization of type Ibn SNe,[]
Inferring cosmological parameters from galaxy and dark sirens cross-correlation,[]
NASA Exoplanet Exploration Program (ExEP) Science Gap List,[]
Assessing Ocean World Habitability with HWO,[]
Rediscovering the Milky Way with an orbit superposition approach and APOGEE data V. The disc growth and history of star formation,[]
The high-speed X-ray camera on AXIS: design and performance updates,[]
Biasing from galaxy trough and peak profiles with the DES Y3 redMaGiC galaxies and the weak lensing mass map,[]
Free Floating or Merely Detached?,[]
SpecpolFlow: a new software package for spectropolarimetry using Python,"['61602, Toravere, Estonia', 'Baltimore, MD 21218, USA', 'Institute, University of Delaware, 19716, Newark, DE, USA', '31270-901, Brazil', 'Olsen Road, 91360, Thousand Oaks, CA, USA', 'France']"
Long Secondary Periods in Red Giants: AAVSO Observations and the Eclipse Hypothesis,[]
JWST's PEARLS: Temperatures of Nine Highly Magnified Stars in a Galaxy at Redshift z = 0.94 and Simulated Stellar Population Dependence on Stellar Metallicity and the Initial Mass Function,"['116 Church Street SE, Minneapolis, MN 55455, USA', '\\affiliation{School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287-6004, USA}', '116 Church Street SE, Minneapolis, MN 55455, USA', '\\affiliation{School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287-6004, USA}', '\\affiliation{Department of Astronomy, University of California, Berkeley, CA 94720-3411, USA}', '\\affiliation{Department of Physics, The University of Hong Kong, Pokfulam Road, Hong Kong}', ""\\affiliation{Donostia International Physics Center, DIPC, Basque Country, San Sebasti\\'an, 20018, Spain}"", '\\affiliation{Department of Physics, University of Basque Country UPV/EHU, Bilbao, Spain}', '\\affiliation{Ikerbasque, Basque Foundation for Science, Bilbao, Spain}', '\\affiliation{Department of Physics, Oklahoma State University, 145 Physical Sciences Bldg, Stillwater, OK 74078, USA}', 'University of Manchester, Oxford Road, Manchester M13 9PL, UK}', 'Tempe, AZ 85287-1404, USA}', ""\\affiliation{IFCA, Instituto de F\\'isica de Cantabria (UC-CSIC), Av. de Los Castros s/n, 39005 Santander, Spain}"", '\\affiliation{Department of Physics, University of Louisville, Natural Science Building 102, 40292 KY Louisville, USA}', 'Baltimore, MD 21218, USA}', '\\affiliation{Department of Physics, The University of Hong Kong, Pokfulam Road, Hong Kong}']"
Assessing the dark matter content of two quasar host galaxies at z~6 through gas kinematics,"['\\affiliation{Kavli Institute for the Physics and Mathematics of the Universe (Kavli IPMU, WPI), UTIAS, Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, 277-8583, Japan}', '\\affiliation{Department of Astronomy, School of Physics, Peking University, Beijing 100871, P. R. China}', '\\affiliation{Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, P. R. China}', '\\affiliation{Kavli Institute for the Physics and Mathematics of the Universe (Kavli IPMU, WPI), UTIAS, Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, 277-8583, Japan}', '\\affiliation{Department of Astronomy, School of Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo, Tokyo 113-0033, Japan}', '\\affiliation{Center for Data-Driven Discovery, Kavli IPMU (WPI), UTIAS, The University of Tokyo, Kashiwa, Chiba 277-8583, Japan}', '\\affiliation{Center for Astrophysical Sciences, Department of Physics \\& Astronomy, Johns Hopkins University, Baltimore, MD 21218, USA}', '\\affiliation{Department of Astronomy, The University of Texas at Austin, Austin, TX, USA}', '\\affiliation{Department of Astronomy, School of Physics, Peking University, Beijing 100871, P. R. China}', '\\affiliation{Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, P. R. China}', '\\affiliation{Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, P. R. China}', '\\affiliation{Department of Astronomy, School of Physics, Peking University, Beijing 100871, P. R. China}', ""\\affiliation{Dipartimento di Fisica, Universit\\'a di Trieste, Sezione di Astronomia, Via G.B. Tiepolo 11, I-34131 Trieste, Italy}"", '\\affiliation{INAF - Osservatorio Astronomico di Trieste, Via G. B. Tiepolo 11, I-34131 Trieste, Italy}', '\\affiliation{Scuola Normale Superiore, Piazza dei Cavalieri 7, I-56126 Pisa, Italy}', '\\affiliation{Dipartimento di Fisica e Astronomia, Università di Firenze, Via G. Sansone 1, I-50019, Sesto F.no (Firenze), Italy}', '\\affiliation{INAF — Osservatorio Astrofisico di Arcetri, Largo E. Fermi 5, I-50125, Florence, Italy}', '\\affiliation{Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK}', '\\affiliation{Cavendish Laboratory, University of Cambridge, 19 J. J. Thomson Ave., Cambridge CB3 0HE, UK}', '\\affiliation{Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK}', '\\affiliation{Cavendish Laboratory, University of Cambridge, 19 J. J. Thomson Ave., Cambridge CB3 0HE, UK}', '\\affiliation{Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK}', '\\affiliation{Department of Physics \\& Astronomy, University College London, Gower Street, London WC1E 6BT, UK}', '\\affiliation{National Astronomical Research Institute of Thailand, Don Kaeo, Mae Rim, Chiang Mai 50180, Thailand}', '\\affiliation{Department of Physics, Faculty of Science, Chulalongkorn University, 254 Phayathai Road, Pathumwan, Bangkok 10330, Thailand}', '\\affiliation{Max-Planck-Institut f\\""{u}r extraterrestrische Physik (MPE), Giessenbachstr. 1, D-85748 Garching, Germany}', '\\affiliation{Max-Planck-Institut f\\""{u}r extraterrestrische Physik (MPE), Giessenbachstr. 1, D-85748 Garching, Germany}', '\\affiliation{Max-Planck-Institut f\\""{u}r extraterrestrische Physik (MPE), Giessenbachstr. 1, D-85748 Garching, Germany}']"
Advanced System Engineering Approaches to Emerging Challenges in Planetary and Deep-Space Exploration,"['\\institute{Escuela Técnica Superior de Ingeniería (ICAI), Universidad Pontificia Comillas, 28015 Madrid, Spain', '\\and Department of Computer Applications in Science \\& Engineering, BARCELONA Supercomputing Center, 08034 Barcelona, Spain', '\\and Dept. of Mechanical Engineering, University of Maryland, College Park, USA', '\\and School of Engineering, EPFL, 1015 Lausanne, Switzerland', '\\and College of Engineering, University of Michigan, Ann Arbor, USA', '\\and Grainger College of Engineering, University of Illinois at Urbana-Champaign, USA', '\\and Dept. of Mechanical Engineering, Iowa State University, USA', '\\and Dept. of Mechanical Engineering, University of Wisconsin-Madison, USA', '\\and Departamento de Informática e Ingeniería de Sistemas, Universidad de Zaragoza, 50009 Zaragoza, Spain', ""\\and Estudis d'Informàtica, Multimèdia i Telecomunicació, Universitat Oberta de Catalunya, 08018 Barcelona, Spain}"", ""Recent successful missions, including NASA's Perseverance rover, China's Tianwen-1 \\cite{chen2024_2}, and ESA's ExoMars \\cite{gonzalez2024}, demonstrate the increasing global interest in planetary exploration \\cite{barth2024,brinkmann2025}. However, these missions reveal persistent challenges in several domains: power generation and distribution in dusty, low-irradiance environments; reliable communication across vast distances; precise navigation without GPS infrastructure; and instrumentation capable of withstanding extreme temperatures and radiation \\cite{deCurto2023_2}. The projects presented herein directly address these challenges through novel applications of existing technologies and development of new approaches.""]"
