s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.13861,Study of Various Dark Matter Halo Profiles in Milky Way and M31 Galaxies within the Standard Cosmology Framework,0,0
ARXIV:2501.13847,A Study on the Line of Sight to Galaxies Detected at Gamma-Ray Energies,1,1
ARXIV:2501.13838,Cool Dark Gas in Cygnus X: The First Large-scale Mapping of Low-frequency Carbon Recombination Lines,1,1
ARXIV:2501.13811,"Inflaton self resonance, oscillons, and gravitational waves in small field polynomial inflation",3,3
ARXIV:2501.13809,Exoplanet Occurrence Rate with Age for FGK Stars in Kepler,1,1
ARXIV:2501.13788,Free-streaming neutrinos and their phase shift in current and future CMB power spectra,9,9
ARXIV:2501.13785,Can $\nu$DM interactions solve the $S_8$ discrepancy?,1,1
ARXIV:2501.14025,Cataclysmic Variables in Triples: Formation Models and New Discoveries,0,0
ARXIV:2501.13769,Considerations on the Origin of IRAS 19312+1950 Based on Long-term Maser Observations,0,0
ARXIV:2501.14026,"Luminous Mid-IR Selected Type-2 Quasars at Cosmic Noon in SDSS Stripe82 I: Selection, Composite Photometry, and Spectral Energy Distributions",0,0
ARXIV:2501.14031,Interacting galaxies in the IllustrisTNG simulations -- VIII: Pericentric star formation rate enhancements are driven both by increased fuelling and efficiency,0,0
ARXIV:2501.14245,Orbital dynamics of Atlas (S XV): Its current orbit and the recent past,0,0
ARXIV:2501.14215,The disrupting and growing open cluster spiral arm patterns of the Milky Way,0,0
ARXIV:2501.14207,Discovery of high-frequency quasi-periodic oscillation in short-duration gamma-ray bursts,4,4
ARXIV:2501.14203,The Southern Twenty-centimetre All-sky Polarization Survey (STAPS): Survey description and maps,1,1
ARXIV:2501.14145,Resolution requirements for numerical modeling of neutrino quantum kinetics,5,5
ARXIV:2501.14137,Study of the gamma-Ray Radiation Properties of High-redshift Blazars at z>2.5,0,0
ARXIV:2501.14109,Electromagnetic Follow-up to Gravitational Wave Events with the UltraViolet EXplorer (UVEX),2,2
ARXIV:2501.14100,JWST 1.5 {\mu}m and 4.8 {\mu}m Photometry of Y Dwarfs,0,0
ARXIV:2501.14089,Discovery of A Starburst in the Early Milky Way at [Fe/H] $<-2$,0,0
ARXIV:2501.14085,Global Distribution of Serpentine on Mars,4,4
ARXIV:2501.14074,An orphan flare from a plasma blob crossing the broad-line region ?,0,0
ARXIV:2501.14072,Estimating Black Hole Masses in Obscured AGN from X-ray and Optical Emission Line Luminosities,0,0
ARXIV:2501.14063,Empirical estimation of host galaxy dispersion measure toward well-localized fast radio bursts,5,5
ARXIV:2501.14062,You Shall Not Pass! The Propagation of Low-/Moderate-powered Jets Through a Turbulent Interstellar Medium,4,4
ARXIV:2501.14058,Life in the Slow Lane: A Search for Long Term Variability in ASAS-SN,1,1
ARXIV:2501.14055,Learning to See: Applying Inverse Recurrent Inference Machines to See through Refractive Scattering,0,0
ARXIV:2501.14054,Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,2,2
ARXIV:2501.14028,The Observed Phase Space of Mass-loss History from Massive Stars Based on Radio Observations of a Large Supernova Sample,3,3
ARXIV:2501.13148,Using Simulation-based Inference on Tidally Perturbed Dwarf Galaxies: The Dynamics of NGC 205,0,0
ARXIV:2501.13752,ATLASGAL-selected high-mass clumps in the inner Galaxy. XI. Morphology and kinematics of warm inner envelopes,0,0
ARXIV:2501.13702,Micro-Tidal Disruption Events at Galactic Centers,1,1
ARXIV:2501.13214,Formation of giant planets,1,1
ARXIV:2501.13211,Incorporating Magnetic-Field Characteristics into EUV-Based Automated Segmentation of Coronal Holes,0,0
ARXIV:2501.13210,Primordial gravitational waves in DHOST inflation,1,1
ARXIV:2501.13207,Beyond MESA Defaults: The Impact of Structural Resolution Uncertainty in p-mode Asteroseismology,0,0
ARXIV:2501.13204,A New Measure of Assembly Bias Using the Environment Dependence of the Luminosity Function,0,0
ARXIV:2501.13186,Resolution Dependence of Cloud–Wind Simulations,0,0
ARXIV:2501.13174,A Detailed Look at a Trio of Changing-look Quasars: Spectral Energy Distributions and the Dust Extinction Test,1,1
ARXIV:2501.13172,Comparison of three methods for triggering core-collapse supernova explosions in spherical symmetry,4,4
ARXIV:2501.13170,Non-equilibrium ionization in the multiphase circumgalactic medium – impact on quasar absorption-line analyses,1,1
ARXIV:2501.13169,Global Turbulent Solar Convection: A Numerical Path Investigating Key Force Balances in the Context of the Convective Conundrum,3,3
ARXIV:2501.13166,Properties of Free-floating Planets Ejected through Planet–Planet Scattering,2,2
